,building,day,end,original_time,room,start
2112,SAV,MTWTh,980,230-420,264,870
2113,PCAR,W,1190,600-750P,291,1080
2114,SAV,M,1010,330-450,157,930
2115,SAV,T,1010,330-450,137,930
2116,MGH,W,1010,330-450,082A,930
2117,MGH,TTh,980,330-420,241,930
2118,SAV,TTh,890,130-250,157,810
2119,OUG,W,800,1230-120,220,750
2120,MGH,F,830,1230-150,171E,750
2121,DEM,W,1010,330-450,104,930
2122,MEB,M,1100,430-620P,102,990
2123,LAW,MW,1040,330-520,441,930
2124,MGH,T,680,1030-1120,074,630
2125,MGH,T,740,1130-1220,074,690
2126,MGH,W,680,1030-1120,248,630
2127,MGH,W,740,1130-1220,074,690
2128,MGH,W,800,1230-120,074,750
2129,MGH,Th,740,1130-1220,082A,690
2130,MGH,Th,800,1230-120,082A,750
2131,GNOM,TTh,740,1100-1220,S060,660
2132,HST,W,620,930-1020,T365,570
2133,HST,W,680,1030-1120,T365,630
2134,HST,W,740,1130-1220,T365,690
2135,HST,W,800,1230-120,T365,750
2136,HST,T,860,130-220,T365,810
2137,HST,T,920,230-320,T365,870
2138,HST,T,980,330-420,T365,930
2139,HST,T,1040,430-520,T365,990
2140,GNOM,MF,860,1230-220,S060,750
2141,HST,T,650,930-1050,T479,570
2142,HST,T,740,1100-1220,T479,660
2143,HST,T,920,200-320,T479,840
2144,HST,T,1010,330-450,T479,930
2145,HST,W,650,930-1050,T479,570
2146,HST,W,740,1100-1220,T479,660
2147,HST,W,830,1230-150,T479,750
2148,HST,W,920,200-320,T479,840
2149,GNOM,MW,710,1030-1150,S060,630
2150,GNOM,Th,860,130-220,S110,810
2151,GNOM,Th,920,230-320,S110,870
2152,GNOM,W,1010,330-450,S060,930
2153,GNOM,W,890,130-250,S060,810
2154,GNOM,T,830,1230-150,S060,750
2155,GNOM,F,1010,300-450,S060,900
2156,HSK,W,560,830-920,K250,510
2157,GNOM,Th,960,100-400,S040,780
2158,GNOM,TTh,710,1030-1150,S110,630
2159,GNOM,TTh,710,1030-1150,S110,630
2160,SMI,MWF,620,930-1020,120,570
